Auteur,nb_comments,nb_likes,texte,date,nb_partages,taux d'engagement
Chris Brown,262 commentaires,"10 K
10 K",Throwback Thursday!,20 h,515 partages,
Chris Brown,262 commentaires,"10 K
10 K",Throwback Thursday!,20 h,515 partages,
Chris Brown,504 commentaires,"17 K
17 K",THROWBACK!,"22 août, 18:02",632 partages,
Chris Brown,504 commentaires,"17 K
17 K",THROWBACK!,"22 août, 18:02",632 partages,
Chris Brown,447 commentaires,"18 K
18 K",,"21 août, 00:55","1,2 K partages",
Chris Brown,447 commentaires,"18 K
18 K",,"21 août, 00:55","1,2 K partages",
Chris Brown,387 commentaires,"19 K
19 K",,"20 août, 23:55","3,5 K partages",
Chris Brown,387 commentaires,"19 K
19 K",,"20 août, 23:55","3,5 K partages",
Chris Brown,111 commentaires,"8,1 K
8,1 K",blackpyramidclothing.com,"20 août, 21:40",120 partages,
Chris Brown,111 commentaires,"8,1 K
8,1 K",blackpyramidclothing.com,"20 août, 21:40",120 partages,
Chris Brown,391 commentaires,"17 K
17 K",,"20 août, 21:27",567 partages,
Chris Brown,391 commentaires,"17 K
17 K",,"20 août, 21:27",567 partages,
Chris Brown,488 commentaires,"21 K
21 K",Oh yeah... dat was dem??? I ain’t even notice.,"17 août, 18:28",1 K partages,
Chris Brown,488 commentaires,"21 K
21 K",Oh yeah... dat was dem??? I ain’t even notice.,"17 août, 18:28",1 K partages,
Chris Brown,534 commentaires,"24 K
24 K",ALWAYS BE THANKFUL AND HUMBLE,"16 août, 18:27","1,2 K partages",
Chris Brown,534 commentaires,"24 K
24 K",ALWAYS BE THANKFUL AND HUMBLE,"16 août, 18:27","1,2 K partages",
Chris Brown,267 commentaires,"15 K
15 K",,"13 août, 20:48",512 partages,
Chris Brown,267 commentaires,"15 K
15 K",,"13 août, 20:48",512 partages,
Chris Brown,445 commentaires,"19 K
19 K",The MYTH,"13 août, 20:34",743 partages,
Chris Brown,445 commentaires,"19 K
19 K",The MYTH,"13 août, 20:34",743 partages,
Chris Brown,761 commentaires,"32 K
32 K",❤️,"9 août, 22:09",546 partages,
Chris Brown,761 commentaires,"32 K
32 K",❤️,"9 août, 22:09",546 partages,
Chris Brown,323 commentaires,"16 K
16 K",,"7 août, 23:55",340 partages,
Chris Brown,323 commentaires,"16 K
16 K",,"7 août, 23:55",340 partages,
